search,title,card_name,condition,price,shipping,total_price,mkt_price,cond_price,value_score,cond_value,bid_count,time_listed,time_left,buy_it_now,best_offer,url
GC-H,Giovanni's Gyarados 5/132 Gym Challenge Holo Rare Vintage Pokemon Card,Giovanni's Gyarados,,49.99,,49.99,56.36,22.54400000000000125144339336,11.30234208658623136976579134,-121.7441447835344092663127659,,2021-10-19 18:17:00,,,,https://www.ebay.com/itm/174985370583?hash=item28bdf0dbd7&_trkparms=ispr%3D1&amdata=enc%3AAQAGAAADoLOZS9fYE4A1wBI65bZChm%252FYuslAsSDXtb6v2XDS1wbv2fOUDUPHku%252Bx8yY%252BgZOn1ApcxHYiNvvzsq6owrO%252FSOkGuwW6kxRRRwVYSGmk%252F5QMKYO6HT7EobHMHFJ4qUefSzGPL0buQSex%252FBsAXmH5UzTKYTH5yezyUH9XdZ8UKJsJ11HJTYGno%252Fs%252Fk04I%252FXHoOUpFAxzEK8nJoytz88cRBjaHQSQKoznwhi22wwsC6IetXiviwZyHPci1FQiIz8JXyZf1OxT5KQQWSPKttKSCrbyBHi7mj6%252Fa8XMDiZ9cBTqbi%252FDiHrPh6jItfZcOke97ATQkBs5X8il0KbIjuh2OAqPq2Q4e57ZaVLCo0fED5JQekojs4rK6DlXe51gdjBBTrr5QdQlREt15vkOX9hRvUFZSb0weOL21IwYXk84BxBaYMPpX7tOpgMwFNWB4f2i3hjVhuZh4dUDkvMbzfzTH%252BdEIfwDxRP7UQ%252FxhJaj%252BJfQfMN604DunTKOBQHG0Y%252FLbgDaDYkARPN7T87SRILWCiTCEOnfdS%252B09OosOemmTPG0UfkyTxUySXmoI9hlLBpKBNnQ8sEhJFWSE4CqlP%252BzeweXve2bsslueUnlQxQjpgFuhG0QL5iJwMUw%252BpVB3mNxh94HnH0wwgm%252FO44PK%252BmoqhFkzoUiyFAIzyucbdCQyaPTBajuSuj588R6NgNGkWgKju7wjWe8UvsYvN2hjBBqMWg8l3xzmd2NXZkTrEi7VjOJj%252F7hVq3Gk0I2KDDXN1jpSIX4aIbd01wOA9In64mY%252F0KKMQge%252BW0E0df%252FwIay98o64AXUw%252B3imMTWNxQuy%252FIl4Xem0gjJYUb4JMi2SJFB1YylFDcIclhugOC4%252Fsc81HTJLU9fLniy6eABiLDx91QvIIzfuPEI9O9WQwajU6KmodL8cEa9ML181I%252FE7sDKBB4efm3nxSGj9pYFMnEbdDay4saZG59%252BcBJMViZZP3ukzat3pFM2cmR9j88MxOLwpl2d%252BJXu7lTTNtLdxmwYRD5Rtg3%252Bq5CqC2mhmhIWzFJILWvxL9%252FH4TyS5HJQJDWwJpX5LxngtYD3oNoWkGvthQB97BGzVcrtxBv5VV5QQ3xjkRgliJ3FlLtif7ods%252FKq2BxTOpxUASw%252FfXDxrYeJyjVSiVfjUPMfZ0UpG7UIKUNpjITxGEtfyeod%252BzYWBs3M2DeusukE03gdrjkOOEnV6l0c%252Bh8S1EXrnfwvPg7znCWTIFvY%253D%7Campid%3APL_CLK
GC-H,Rocket's Zapdos 15/132 | Gym Challenge | Holo | WOTC Pokémon | MINT,Rocket's Zapdos,M,59.99,4.75,64.74,66.33,59.69700000000000147282186447,2.397105382180009045680687470,-8.447660686466653940330572564,,2021-10-19 18:06:00,,,,https://www.ebay.com/itm/174985362356?hash=item28bdf0bbb4:g:jt4AAOSw9ythb07~
GC-R,Sabrina's Gengar Rare - 29/132 Unlimited Gym Challenge EXC,Sabrina's Gengar,,17.49,,17.49,25.45,10.18000000000000056510351953,31.27701375245579567779960707,-71.80746561886050126827077576,,2021-10-19 17:34:00,,,,https://www.ebay.com/itm/144254431413?hash=item21963bf0b5:g:2f0AAOSwKrJhb0fx
N2-H,Lightly Played Poliwrath - Neo Discovery - 9/75 - Holo Rare - Unlimited Edition,Poliwrath,LP,13.99,,13.99,20.16,14.11199999999999910471615294,30.60515873015873015873015873,0.8645124716553225089001803752,,2021-10-19 16:51:00,,,,https://www.ebay.com/itm/265368387468?hash=item3dc9303f8c:g:jzUAAOSwrjlhbz1W
GC-T,Koga - 19/132 - Holo Rare - Unlimited Edition x1 Pokemon TCG Gym Challenge Moder,Koga,,11.99,0.99,12.98,24.53,9.812000000000000544675415881,47.08520179372197309417040359,-32.28699551569505992117057703,,2021-10-19 16:28:00,,,,https://www.ebay.com/itm/265368370644?hash=item3dc92ffdd4:g:AeQAAOSwFBhhbziV
N3-H,Magneton - 10/64 - Holo Rare - 1st Edition x1 Pokemon TCG Neo Revelation Heavily,Magneton,HP,19.99,0.99,20.98,22.41,11.205,6.381079875055778670236501560,-87.23784024988844265952699688,,2021-10-19 16:28:00,,,,https://www.ebay.com/itm/384455512921?hash=item5983559359:g:ISQAAOSwxM1hbziW
GC-T,Giovanni - 18/132 - Holo Rare - Unlimited Edition x1 Pokemon TCG Gym Challenge L,Giovanni,,17.99,0.99,18.98,29.06,11.62400000000000064526162191,34.68685478320715760495526497,-63.28286304198209692359213381,,2021-10-19 16:19:00,,,,https://www.ebay.com/itm/265368362558?hash=item3dc92fde3e:g:GtUAAOSwEHlhbzZH
TR-R,Dark Charizard - 21/82 - Rare - Unlimited Edition x1 Pokemon TCG Team Rocket Hea,Dark Charizard,,20.99,0.99,21.98,37.8,15.12000000000000083932860662,41.85185185185185185185185185,-45.37037037037036230069375616,,2021-10-19 16:18:00,,,,https://www.ebay.com/itm/384455505521?hash=item5983557671:g:hpsAAOSwpPBhbzYU
N1-L,Pokemon-Lugia Neo Genesis Rare Holo Good ITA 9/111,Lugia,,69.87,12.81,82.68,360.22,144.0880000000000079984907586,77.04735994669923935372827716,42.61839986674810156963937579,,2021-10-19 15:44:00,,,,https://www.ebay.com/itm/194451013012?hash=item2d462efd94:g:vTcAAOSw7axhby4K
N4-H,Pokémon Neo Destiny 4/105 Dark Espeon Holo HP/Damaged Pokemon card,Dark Espeon,DMG,85.00,4.50,89.50,182.56,73.02400000000000405364630751,50.97502191060473269062226117,-22.56244522348816146986191499,,2021-10-19 14:59:00,,,,https://www.ebay.com/itm/324839798493?hash=item4ba1f5f6dd:g:-10AAOSwEHlhbyNU
N3-H,Pokémon TCG Blissey Neo Revelation 2/64 Holo Unlimited Holo Rare NM/MINT,Blissey,NM,17.99,4.50,22.49,28.43,22.74400000000000126254562360,20.89342244108336264509321140,1.116778051354208795488002055,,2021-10-19 14:09:00,,,,https://www.ebay.com/itm/294477213315?epid=10043376126&hash=item449035ae83:g:h7sAAOSw3zVhbxfG
